TYPE ID Toffset_noisereduction
ED 772 -17.864049
ED 773 -4.536524
ED 774 -3.399750
ED 775 -10.546303
ED 776 3.595489
ED 777 -4.064740
ED 778 7.050853
ED 779 8.420134
ED 780 7.405701
ED 781 -4.117470
ED 782 3.740959
ED 783 -0.080898
ED 784 -9.301305
ED 785 -8.008401
ED 786 -5.918620
ED 787 12.276937
ED 788 6.817414
ED 789 3.572166
ED 790 0.765156
ED 791 -12.041792
ED 792 1.121920
ED 793 -6.707957
ED 794 3.119111
ED 795 -6.081366
ED 796 -1.424610
ED 797 -7.174903
ED 798 -0.579113
ED 799 -4.258316
ED 800 12.924161
ED 801 -4.257951
ED 802 -11.446081
ED 803 -6.651417
ED 804 -0.774606
ED 805 8.478308
ED 806 2.746767
ED 807 -3.245134
ED 808 7.343569
ED 809 -5.369214
ED 810 -0.053566
ED 811 18.469933
ED 812 12.987471
ED 813 -5.019544
ED 814 9.828956
ED 815 16.107075
ED 816 7.407612
ED 817 9.149774
ED 818 -0.165506
ED 819 -5.357811
ED 820 -8.395283
ED 821 5.552948
ED 822 4.912004
ED 823 -3.988688
ED 824 0.095578
ED 825 -12.430725
ED 826 -1.343828
ED 827 -2.134568
ED 828 -4.630303
ED 829 4.267747
ED 830 -0.390330
ED 831 -5.722187
ED 832 5.868858
ED 833 9.245739
ED 834 -9.822419
ED 835 -6.050041
ED 836 5.599287
ED 837 -27.230565
ED 838 6.152186
ED 839 9.370710
ED 840 0.910484
ED 841 -6.039677
ED 842 -9.140177
ED 843 6.648618
ED 844 -0.289795
ED 845 2.896525
ED 846 2.053914
ED 847 -6.407167
ED 848 -7.733070
ED 849 10.690240
ED 850 6.258624
ED 851 8.875482
ED 852 2.580184
ED 853 14.287429
ED 854 -14.763228
ED 855 -9.971587
ED 856 -5.527503
ED 857 9.725588
ED 858 3.569902
ED 859 -3.918977
ED 860 1.103719
ED 861 -5.691554
ED 862 -13.127133
ED 863 -3.541144
ED 864 10.128603
ED 865 -6.864289
ED 866 -1.622499
ED 867 1.591949
ED 868 0.940403
ED 869 -2.336217
ED 870 -10.164120
ED 871 3.538119
ED 872 -5.083877
ED 873 -0.233017
ED 874 -17.944688
ED 875 17.156437
ED 876 -10.191535
ED 877 3.884552
ED 878 -2.134916
ED 879 -8.582518
ED 880 -3.726753
ED 881 4.222903
ED 882 4.783419
ED 883 13.656395
ED 884 13.262242
ED 885 -3.980279
ED 886 3.740218
ED 887 -12.551536
ED 888 -0.965531
ED 889 3.199475
ED 890 -0.400659
ED 891 5.318763
ED 892 25.295469
ED 893 -23.568288
ED 894 -6.136646
ED 895 -7.171039
ED 896 12.279728
ED 897 -15.406775
ED 898 7.903932
ED 899 -0.990005
ED 900 16.053065
ED 901 16.551623
ED 902 9.980417
ED 903 1.745416
ED 904 7.654897
ED 905 14.013588
ED 906 7.770979
ED 907 10.785524
ED 908 9.190270
ED 909 -1.558440
ED 910 -1.476012
ED 911 5.950557
ED 912 7.195920
ED 913 4.426128
ED 914 0.457434
ED 915 0.300464
ED 916 10.464095
ED 917 9.407113
ED 918 -2.146399
ED 919 5.083370
ED 920 -2.973510
ED 921 7.457928
ED 922 -4.516595
ED 923 -14.554580
ED 924 -8.536038
ED 925 3.255671
ED 926 0.056056
ED 927 12.808794
ED 928 -1.783108
ED 929 -7.068169
ED 930 -15.904128
ED 931 9.842508
ED 932 8.802804
ED 933 -12.646716
ED 934 -2.790208
ED 935 -10.450392
ED 936 -12.897349
ED 937 -2.939979
ED 938 -15.283717
ED 939 0.396290
ED 940 11.239900
ED 941 11.749988
ED 942 2.525664
ED 943 8.394531
ED 944 9.784472
ED 945 0.194453
ED 946 -3.311480
ED 947 -8.001675
ED 948 -2.931810
ED 949 12.939782
ED 950 -6.239516
ED 951 14.289189
ED 952 2.163178
ED 953 17.089881
ED 954 8.821077
ED 955 1.568830
ED 956 -10.019961
ED 957 5.138674
ED 958 -7.201864
ED 959 10.639738
ED 960 9.144220
ED 961 10.052715
ED 962 2.976080
ED 963 -11.478015
ED 964 -6.243030
ED 965 1.775032
ED 966 -8.943397
